Digging_Status,3,الرخص التي انتهت المدة وجاري التنفيذ
Digging_Status,4,الرخص التي انتهت من التنفيذ
Digging_Status,5,مرفوض
Digging_Status,6,الرخص التي لم تنتهي المدة ولم يبدأ في التنفيذ
Main_LanduseClassification,100000,سكني
Main_LanduseClassification,200000,تجاري
Main_LanduseClassification,300000,الخدمات العامة
Main_LanduseClassification,400000,مرافق عامة و نقل ومواصلات
Main_LanduseClassification,500000,التصنيع
Main_LanduseClassification,600000,زراعة
Main_LanduseClassification,700000,مناطق تراث عمراني
Main_LanduseClassification,800000,أراضي فضاء
Main_LanduseClassification,900000,رموزخرائط
Main_LanduseClassification,1000000,إستعمال مختلط
Branch_LanduseClassification,101000,شقة سكنية
Branch_LanduseClassification,102000,مجمع مساكن
Branch_LanduseClassification,103000,فنادق
Branch_LanduseClassification,104000,اسكان خيري
Branch_LanduseClassification,201000,أسواق تجارية
Branch_LanduseClassification,202000,معارض
Branch_LanduseClassification,203000,محلات تجارية
Branch_LanduseClassification,204000,الحرف التجارية
Branch_LanduseClassification,205000,خدمات تموين غذائي
Branch_LanduseClassification,206000,توكيلات تجارية
Branch_LanduseClassification,207000,خدمات تجارية أخرى
Branch_LanduseClassification,208000,استثماري
Branch_LanduseClassification,301000,خدماتتعليمية
Branch_LanduseClassification,302000,خدمات صحية
Branch_LanduseClassification,303000,خدمات دينية
Branch_LanduseClassification,304000,خدمات بلدية
Branch_LanduseClassification,305000,خدمات ثقافية
Branch_LanduseClassification,306000,خدمات ترويحية
Branch_LanduseClassification,307000,خدمات حكومية
Branch_LanduseClassification,401000,كهرباء
Branch_LanduseClassification,402000,مياه
Branch_LanduseClassification,403000,البرق والبريد والهاتف
Branch_LanduseClassification,404000,صرف صحي
Branch_LanduseClassification,405000,نقلومواصلات
Branch_LanduseClassification,501000,نفط
Branch_LanduseClassification,502000,مصانع
Branch_LanduseClassification,503000,مصنع ملبوسات
Branch_LanduseClassification,504000,مصانع أخشات ومنتجات خشبية
Branch_LanduseClassification,505000,مصانع الورق و المنتجات الورقية
Branch_LanduseClassification,506000,مطابع
Branch_LanduseClassification,507000,مصنع متعدد الانتاج
Branch_LanduseClassification,508000,صناعة و كهرباء
Branch_LanduseClassification,601000,مزارع
Branch_LanduseClassification,602000,حدائق وبساتين
Branch_LanduseClassification,603000,مراعي
Branch_LanduseClassification,604000,مشتل زراعي علمي
Branch_LanduseClassification,605000,نشاطات مرتبطة بالزراعة
Branch_LanduseClassification,606000,مزارع تربية أسماك
Branch_LanduseClassification,701000,آثار
Branch_LanduseClassification,702000,مناطق ساحلية
Branch_LanduseClassification,802000,تضاريس طبيعية
Branch_LanduseClassification,901000,حدود
Branch_LanduseClassification,902000,مضلعات ( لأغراض نظام المعلومات الجغرافية)
Branch_LanduseClassification,903000,حواشي توضيحية
Branch_LanduseClassification,904000,حواجز
Branch_LanduseClassification,905000,خطوط
Branch_LanduseClassification,906000,دوائر ورموز
Branch_LanduseClassification,907000,تهشير و طرق
Branch_LanduseClassification,908000,أخرى
Branch_LanduseClassification,1001000,متعدد استعمال سكني
Branch_LanduseClassification,1002000,متعدد استعمال تجاري
Branch_LanduseClassification,1003000,متعدد استعمال حكومي
Branch_LanduseClassification,1004000,متعدد استعمال زراعي
Branch_LanduseClassification,1005000,متعدد استعمال صناعي
Branch_LanduseClassification,1006000,متعدد الاستعمالات
,,
Detailed_LanduseClassification,101001,شقة سكنية مفروشة
Detailed_LanduseClassification,101002,مبنى سكني مفرد الوحدات
Detailed_LanduseClassification,101003,فيلا أسرة واحدة
Detailed_LanduseClassification,101004,بيت شعبي أسرة واحدة
Detailed_LanduseClassification,101005,بيت طين تقليدي لأسرة واحدة
Detailed_LanduseClassification,101006,مبنى شقق
